Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
奥地利	AUT	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC	1814.676017	1882.223711	2006.770396	2124.359184	2232.896504	2305.357708	2375.012735	2448.692544	2608.624238	2814.654642	3019.116159	3213.126836	3404.469208	3620.56204	3769.029711	3734.445473	4068.190905	4137.714163	4335.053929	4541.537932	4684.45776	4697.365866	4730.570071	4827.484062	5070.995793	5280.77716	5321.412974	5536.144154	5716.834247	5896.135568	6111.47652	6347.220096	6227.498049	6137.269463	6205.804904	6344.393087	6607.222977	6620.447862	6706.708677	6972.189816	7076.269483	7333.231953	7427.656445	7695.080037	7808.157792	7977.681597	8244.401952	8207.474739	8233.014833	7944.796096	8382.711154	8425.167753	8548.882199	8509.61158	8355.841952					
阿塞拜疆	AZE	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																															2575.639056	2631.137395	2276.076944	2119.679787	1961.827037	1951.984385	1852.891923	1813.670143	1936.939214	2022.485985	2040.47909	2106.470066	1996.708252	2235.459856	2281.947872	2388.388734	2552.286214	2118.210528	2040.760435	1620.38742	1603.431374	1705.424633	2052.650965	2092.536521	2202.393918					
布隆迪	BDI	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
比利时	BEL	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC	1576.338815	1627.51357	1753.143892	1880.993824	2062.994976	2163.960334	2255.188418	2357.58493	2596.177718	2830.593969	3031.521046	3217.045264	3612.355533	3941.603741	4134.390881	3887.477425	4247.40638	4404.824321	4623.389685	4906.085081	4893.885351	4910.953281	4904.070015	5043.975356	5285.543762	5502.668409	5617.419822	5876.962998	6057.062732	6205.76377	6380.31322	6655.414381	6850.663773	6881.072143	7176.240507	7379.737079	7527.688545	7701.612131	7913.05858	7944.129807	8247.677113	8267.187216	8311.892679	8411.900657	8576.223497	8509.997073	8683.671285	8614.679503	8521.49674	7903.955479	8393.949623	8028.798731	7988.524644	7989.671853	7709.123078					
贝宁	BEN	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												10.75062186	11.82822655	18.62750608	16.94164419	18.06953094	19.41937271	21.26148156	46.25507032	24.87200589	27.7092892	31.93610266	17.56747054	36.63412583	32.47675687	33.42292078	31.10450979	30.8692131	36.1663498	33.81731513	34.95031431	36.70259961	38.82363996	39.11794114	39.37545282	41.82500621	44.46808053	47.91743047	44.8204208	51.92000478	58.11285283	61.46904228	68.26224876	64.6228902	70.32254435	73.78894982	75.08917296	79.718096	86.35239989	87.87318714	95.44246988	91.53530927	93.1212772	96.75560853	100.2251225					
布基纳法索	BFA	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
孟加拉国	BGD	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												10.83446219	10.65654765	15.40564831	17.13648144	17.28362969	17.5988569	18.60785883	21.88203181	21.42422882	19.11112164	22.8330285	25.83039508	29.45120176	32.42606662	33.50440559	37.93423037	39.39536096	42.51100077	50.58816086	49.78096955	50.41708347	60.40726293	67.18583659	71.07650066	78.23222607	81.93799891	83.74627802	88.81439507	97.16458112	104.6077431	115.1445112	122.9863783	129.3923331	165.3083424	176.0773264	196.9398962	206.1048823	207.5269247	226.0479417	247.2633825	265.6394213	283.4621656	301.961168	320.2041582					
保加利亚	BGR	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												2292.653983	2486.06609	2683.109679	2842.231221	3035.636188	3247.551349	3437.797692	3648.387027	3772.289411	3973.690788	4125.353429	4397.890565	4582.125337	4772.2946	4678.285823	4646.260939	4838.620325	4940.518487	4963.178886	4758.731903	4361.144516	3735.525454	3807.696906	3825.386616	4211.125131	4350.443259	3970.131139	3932.401784	3613.367267	3673.606871	3859.090025	3853.819004	3997.902596	3971.822736	4165.180392	4366.912765	4523.322878	4674.503151	4483.747139	4560.414917	4863.691441	4761.912583	4639.706323	4708.927458					
巴林	BHR	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												1951.777479	1963.736336	2087.447344	2282.552171	2626.217909	3171.783811	3661.251752	3746.83513	4299.895857	4612.546125	4848.711643	5205.337479	5589.551373	15306.03475	15926.45222	16450.58596	14702.50863	15363.35066	15402.61948	15621.12471	14214.53233	18497.9143	21644.50495	20477.34373	20553.59528	20597.37396	21104.96848	21251.42578	20638.10501	20014.71537	20130.60089	20016.43211	19775.06331	18983.08598	21325.64971	21508.36065	20592.34361	18491.15545	17459.63972	18038.29602	17912.59405	17849.24416	18693.12388	19596.95376					
巴哈马	BHS	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
波斯尼亚和黑塞哥维那	BIH	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																															2937.655696	2106.04902	1111.327367	707.7824443	893.9358683	959.2457659	1126.334035	1384.610031	1774.6122	1834.451137	2030.296632	2068.426356	2092.096398	2233.5496	2321.878203	2389.696948	2384.592014	2382.543148	2986.465282	2891.643277	3155.603389	3343.735276	3479.083887	3474.27952	3446.766668					
